year,plant,species,site,habitat,treatment,survival,height,length,width,green_lvs,scape,new_lvs,biomass,canopy,lf_long,comments
1981,1,1,4,2,NA,1,51,69,63,6,0,NA,1112,NA,NA,NA
1981,1,2,1,1,NA,1,79,129,71,3,0,NA,932,NA,NA,NA
1981,2,1,4,2,NA,1,80,90,66,6,0,NA,1146,NA,NA,NA
1981,2,2,1,1,NA,1,59,80,72,2,0,NA,610,NA,NA,NA
1981,3,1,4,2,NA,1,83,96,79,6,1,NA,1285,NA,NA,NA
1981,3,2,1,1,NA,1,93,119,90,2,0,NA,803,NA,NA,NA
1981,4,1,4,2,NA,1,50,49,40,6,0,NA,833,NA,NA,NA
1981,4,2,1,1,NA,1,79,94,68,2,0,NA,567,NA,NA,NA
1981,5,1,4,2,NA,1,66,70,70,5,0,NA,782,NA,NA,NA
1981,5,2,1,1,NA,1,57,92,70,3,0,NA,921,NA,NA,NA
1981,6,1,4,2,NA,1,90,90,76,9,1,NA,3185,NA,NA,NA
1981,6,2,1,1,NA,1,48,67,58,3,0,NA,792,NA,NA,NA
1981,7,1,4,2,NA,1,91,105,89,8,3,NA,2686,NA,NA,NA
1981,7,2,1,1,NA,1,51,84,68,3,0,NA,899,NA,NA,NA
1981,8,1,4,2,NA,1,70,66,62,7,0,NA,1570,NA,NA,NA
1981,8,2,1,1,NA,1,65,109,69,3,0,NA,910,NA,NA,NA
1981,9,1,4,2,NA,1,78,77,71,7,0,NA,1711,NA,NA,NA
1981,9,2,1,1,NA,1,53,86,56,3,0,NA,771,NA,NA,NA
1981,10,1,4,2,NA,1,82,96,82,9,1,NA,3343,NA,NA,NA
1981,10,2,1,1,NA,1,64,83,72,2,0,NA,610,NA,NA,NA
1981,11,1,4,2,NA,1,85,96,80,7,0,NA,1846,NA,NA,NA
1981,11,2,1,1,NA,1,61,110,84,3,0,NA,1071,NA,NA,NA
1981,12,1,4,2,NA,1,135,121,120,9,0,NA,4261,NA,NA,NA
1981,12,2,1,1,NA,1,57,81,61,3,0,NA,825,NA,NA,NA
1981,13,1,4,2,NA,1,69,68,63,4,0,NA,438,NA,NA,NA
1981,13,2,1,1,NA,1,57,83,71,3,0,NA,932,NA,NA,NA
1981,14,1,4,2,NA,1,77,86,67,7,0,NA,1649,NA,NA,NA
1981,14,2,1,1,NA,1,70,82,65,3,0,NA,867,NA,NA,NA
1981,15,1,4,2,NA,1,92,81,47,5,0,NA,607,NA,NA,NA
1981,15,2,1,1,NA,1,74,98,84,3,0,NA,1071,NA,NA,NA
1981,16,1,4,2,NA,1,85,93,79,7,0,NA,1832,NA,NA,NA
1981,16,2,1,1,NA,1,53,84,73,4,0,NA,1286,NA,NA,NA
1981,17,1,4,2,NA,1,77,95,85,7,0,NA,1919,NA,NA,NA
1981,17,2,1,1,NA,1,55,76,61,3,0,NA,825,NA,NA,NA
1981,18,1,4,2,NA,1,98,97,84,8,0,NA,2589,NA,NA,NA
1981,18,2,1,1,NA,1,74,113,83,4,0,NA,1393,NA,NA,NA
1981,19,1,4,2,NA,1,98,126,112,9,1,NA,4078,NA,NA,NA
1981,19,2,1,1,NA,1,53,84,63,3,0,NA,846,NA,NA,NA
1981,20,1,4,2,NA,1,91,101,83,8,0,NA,2570,NA,NA,NA
1981,20,2,1,1,NA,1,36,76,65,3,0,NA,867,NA,NA,NA
1981,21,1,5,2,NA,1,81,108,100,10,1,NA,4834,NA,NA,NA
1981,21,2,4,2,NA,1,78,140,65,3,0,NA,867,NA,NA,NA
1981,22,1,5,2,NA,1,89,115,84,10,1,NA,4326,NA,NA,NA
1981,22,2,4,2,NA,1,65,113,69,3,0,NA,910,NA,NA,NA
1981,23,1,5,2,NA,1,75,84,81,7,0,NA,1861,NA,NA,NA
1981,23,2,4,2,NA,1,77,83,59,3,0,NA,803,NA,NA,NA
1981,24,1,5,2,NA,1,50,39,35,5,0,NA,503,NA,NA,NA
1981,24,2,4,2,NA,1,69,104,94,3,0,NA,1178,NA,NA,NA
1981,25,1,5,2,NA,1,46,42,39,5,0,NA,539,NA,NA,NA
1981,25,2,4,2,NA,1,84,152,87,4,0,NA,1435,NA,NA,NA
1981,26,1,5,2,NA,1,64,93,79,10,1,NA,4160,NA,NA,NA
1981,26,2,4,2,NA,1,78,121,90,3,0,NA,1135,NA,NA,NA
1981,27,1,5,2,NA,1,72,87,80,13,0,NA,7667,NA,NA,NA
1981,27,2,4,2,NA,1,82,124,102,4,0,NA,1596,NA,NA,NA
1981,28,1,5,2,NA,1,60,62,57,6,0,NA,1044,NA,NA,NA
1981,28,2,4,2,NA,1,85,125,115,3,0,NA,1403,NA,NA,NA
1981,29,1,5,2,NA,1,57,88,65,8,2,NA,2199,NA,NA,NA
1981,29,2,4,2,NA,1,82,111,62,4,0,NA,1168,NA,NA,NA
1981,30,1,5,2,NA,1,56,80,42,7,0,NA,1225,NA,NA,NA
1981,30,2,4,2,NA,1,86,156,72,4,0,NA,1275,NA,NA,NA
1981,31,1,1,1,NA,1,105,114,104,11,1,NA,6171,NA,NA,NA
1981,31,2,2,1,NA,1,51,81,78,2,0,NA,674,NA,NA,NA
1981,32,1,1,1,NA,1,79,102,82,7,0,NA,1876,NA,NA,NA
